"Producer","Region","mean","sd","q05","q10","q25","q50","q75","q90","q95","quartile_dispersion"
"OCP","Western Asia",0.142036999925236,0.0395284195883687,0.0854670490657306,0.0969151014837189,0.116900198143554,0.135864647545017,0.16657744575638,0.192994213337272,0.211075686903495,0.175242205802872
"PhosAgro/EuroChem","Africa",0.13942734676618,0.0403450186885157,0.082729025680433,0.095242821911912,0.11162517296015,0.135006724833632,0.161681627441566,0.190894890978529,0.215215188219801,0.183151148847528
"PhosAgro/EuroChem","East Asia",0.0633673232380529,0.0468786661523014,0,0,0.0243147796341671,0.061050860668529,0.0937046574051361,0.128905522106141,0.14636879851199,0.587952963611075
"PhosAgro/EuroChem","Eastern Europe and Central Asia",0.117243113477793,0.0388890905550461,0.062222609791401,0.071284029533809,0.090129918102564,0.112728557180387,0.142550468753842,0.169259197036641,0.188110973745402,0.225289941105472
"PhosAgro/EuroChem","Latin America",0.0300496003103938,0.0317623271926403,0,0,0,0.021512013512194,0.0492513701764686,0.0742516943105306,0.0895568627518537,1
"PhosAgro/EuroChem","North America",0.0648220618943927,0.0361259573581293,0.00859134965228278,0.0207667751094929,0.0396304270175837,0.0603488838922386,0.0881161324092878,0.113521650111002,0.132129213723367,0.379546076303211
"PhosAgro/EuroChem","Oceania",0.106524698360195,0.0406912761425915,0.0490751776046659,0.0625072142586671,0.0796135766293678,0.100137129765096,0.133247258163607,0.161282410884597,0.178705885641935,0.251965945667752
"PhosAgro/EuroChem","South Asia",0.0131618468139272,0.0227119981164687,0,0,0,0,0.0195100735304282,0.0450540363430281,0.0624573769261439,1
"PhosAgro/EuroChem","Western and Central Europe",0.103425432679158,0.0395648721371076,0.0480958165614866,0.0576350956999951,0.0763680174242227,0.0985147082762821,0.127861633013278,0.15642926810758,0.177641833649279,0.252135845499152
"PhosAgro/EuroChem","Western Asia",0.147974288083575,0.0410945832510351,0.0878028966465697,0.101775189605713,0.119633995822721,0.143412990992168,0.174958284221317,0.200745032351524,0.217656052515359,0.187799518678243
