"Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
1248,14789,1045,4716,5034,913,6355,1667,756
1177,16819,1023,4793,4589,946,6499,1459,965
1288,12832,989,4642,5116,1059,7153,1567,617
1399,17247,990,4321,5541,1156,7425,1521,564
1579,14524,1045,4820,5671,1132,7681,1826,686
1226,13893,1069,3912,5320,800,6443,1391,629
1421,17408,997,4435,4573,1070,7296,1831,879
1456,16276,1040,4449,5123,880,7867,1860,1045
1484,15777,1059,4065,4432,958,5678,1561,838
1345,15663,950,4503,4926,863,6761,2015,677
1243,13460,1105,4275,4321,948,6855,1506,581
1200,15099,1078,5004,4624,1038,8492,1619,488
995,15499,991,3855,5421,890,5423,1449,707
1345,17332,1012,4841,4694,1031,7380,1757,619
1085,13773,1130,5389,4778,955,6681,1750,576
1223,14081,953,3667,5021,1086,6564,1796,683
1364,14451,1073,4573,4830,775,6353,1662,773
1276,15625,1063,4289,5727,1011,7158,1620,560
1307,16469,1049,3611,5458,740,8140,1435,575
1372,14408,1005,4539,5064,1060,7507,1886,720
1212,14445,1079,4610,5135,1288,6711,1541,611
1218,15063,1001,4677,5112,1027,7484,1915,576
1538,14298,1104,3965,4905,1175,8332,1560,591
1040,15423,1077,4466,4829,968,7089,1700,784
1070,15858,1039,4462,5153,1149,6377,1669,643
1242,15500,1018,4623,5679,1053,8080,1509,819
1339,14576,1120,4703,4671,961,6113,1754,793
1305,17286,1015,4329,5608,1033,7329,1635,826
1079,14053,1132,4402,5684,1036,7263,1926,600
1085,17118,1016,3915,4627,896,7454,1488,482
1218,15102,1121,5639,4601,888,7037,1752,642
1190,15616,1003,3794,4670,753,7024,1756,846
1110,16631,1002,4703,5202,1073,6876,1728,694
1191,14544,1039,4908,4864,1257,7037,1968,632
1293,17163,1026,3994,5151,1004,6178,1874,691
1248,14421,1042,4471,4943,1007,7179,1844,785
1141,16345,955,4411,4676,1117,6920,1740,686
1358,14503,1109,4220,5128,828,7832,1680,638
1051,12906,1173,4195,5421,1123,8613,1894,512
975,15526,1068,4028,5683,1131,6424,1861,790
1286,14627,986,5115,5971,982,7022,1794,812
1148,15554,966,4606,4442,1091,7522,1727,643
1375,16575,1042,4610,4551,900,5488,1301,620
1223,17736,1099,5551,5217,1052,7020,1807,659
1154,14077,1112,4442,5582,990,7864,1770,753
1379,15568,1001,5066,5021,1021,6548,1726,861
988,13097,1115,5084,5139,1053,7329,1680,822
1475,15018,1028,4545,4701,847,7701,1799,757
1289,15760,1073,4300,5229,1076,6306,1725,631
1481,15055,1051,4347,5053,864,6485,1764,591
1114,15576,1073,4225,4847,772,8604,1727,705
1151,15186,971,4517,4542,1160,6820,1850,690
1242,15297,1027,4298,5189,826,6845,2099,869
1481,12375,1072,4107,5740,886,7265,1665,684
1319,14582,1027,4295,4836,974,8385,1486,593
1251,14682,1021,5114,4640,1156,5621,1801,791
