"China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
0,0.0392202318407552,0.00977393510503039,0.0354647231798322,0.0876384270700274
0,0,0.0147340214389343,0,0.00319857480192628
0.0297180269422227,0.020861703031118,0,0,0.00283343348678662
0,0,0.0795643467065472,0,0
0,0,0.0470091440724479,0.025196153081708,0
0,0,0,0.0196227447764815,0.02366846656704
0,0,0,0,0
0,0,0.00442756049119711,0,0
0,0,0.0208159854844724,0,0
0,0.0759804586862039,0,0.0120747745325641,0
0,0,0,0.0511023275092488,0.0448752783509383
0.00196610344488361,0.0821858756168557,0.0156826414056434,0.0225234590720623,0
0,0,0.0608948181984128,0,0
0,0.00940554483111268,0.0437152918644033,0.0244591628002394,0
0,0,0.0241438805944941,0.0219298345472044,0.0249643068319478
0,0,0,0.0146080685515654,0
0,0,0.0391549546362836,0.0349407915079991,0.0367973879466865
0.0053596309508298,0.01175027389453,0.0502428441171881,0.0470255616303328,0.0422408801082601
0,0,0.0180017284213392,0.0137694373959696,0.00844554755331502
0,0,7.7867095224407e-05,0.0273256672891126,0
0,0.0218059439875908,0.0103313782734965,0,0
0,0,0.0246423993016985,0.0107944449511299,0.0268270484545883
0,0,0.0391597861706184,0.0150846475202722,0.0161545052182841
0,0,0,0.00125324476810056,0
0,0,0.0113264071754105,0.0221178315872178,0.0316142137376178
0,0,0.0857409386696918,0.0112555979037323,0
0.0128053485785061,0.0532013868081247,0.11697851753521,0.0723246613966277,0.0527207822315066
0,0,0,0.00168998761375128,0
0,0,0.00300079762034929,0.00885787112593713,0
0,0,0.124650003504589,0.0379722448555822,0
0,0,0.0531685948970293,0.0670013435495196,0
0,0,0.00245230530491982,0,0
0,0,0.000907826117061035,0,0
0,0,0,0,0.00858796006670939
0,0,0.0120430824252153,0,0
