"simulation","iteration","South Asia","North America","Oceania","Western Asia","Latin America","Eastern Europe and Central Asia","Western and Central Europe","East Asia","Africa"
177,4039,0.86194,0.944896,0.977589,1,0.934328,0.993727,0.994586,0.946301,0.996096
178,4295,0.909318,0.954107,0.981962,1,0.925418,0.957666,0.985864,0.887256,1
179,3040,0.8852,0.937858,0.98117,0.965709,0.921093,0.99731,0.988887,0.912018,0.99568
180,5010,0.904475,0.922977,0.983629,0.990853,0.90936,0.992152,0.967465,0.961644,0.971597
181,6256,0.896207,0.935468,0.980532,0.983108,0.905534,0.980857,0.993086,0.960386,0.982105
182,4855,0.89398,0.95475,0.952,1,0.925862,0.995372,0.968417,0.922405,1
183,7248,0.873368,0.940054,0.977753,1,0.906471,0.989088,0.965205,0.971042,0.994361
184,7711,0.881155,0.946481,0.985765,0.998207,0.922205,0.980689,0.982041,0.96022,0.992883
185,3002,0.885831,0.943688,0.977329,1,0.936753,1,0.990059,0.893063,0.998537
186,6395,0.878481,0.917614,0.983733,0.994937,0.921708,0.990816,0.987342,0.954323,1
187,1572,0.897886,0.927874,0.970287,0.998158,0.927929,1,0.970891,0.923037,1
188,3337,0.879395,0.931289,0.985698,1,0.922103,1,0.984031,0.928943,0.997456
189,6368,0.859037,0.954378,0.98429,0.998006,0.914441,1,0.98658,0.952357,0.973295
190,3972,0.939669,0.929873,0.979389,1,0.927216,0.986152,0.973967,0.917823,1
191,4727,0.899984,0.922304,0.94413,1,0.919915,0.987728,0.989952,0.967329,0.998023
192,2892,0.883833,0.935413,0.986672,0.99147,0.916087,1,0.982967,0.947701,0.996641
193,5217,0.878503,0.941,0.975022,0.996161,0.908582,0.991928,0.983909,0.962481,0.973839
194,3068,0.900531,0.933648,0.979429,1,0.921102,0.989467,0.982872,0.961251,1
195,4152,0.933735,0.910506,0.975074,1,0.924772,0.992151,0.990215,0.942618,1
196,3282,0.918393,0.922105,0.984812,0.998442,0.919555,0.987164,0.969114,0.892409,0.991556
197,1798,0.888802,0.928184,0.949565,0.989055,0.899748,1,0.947688,0.949673,0.994688
198,3250,0.906118,0.916772,0.982234,1,0.908458,0.987376,0.964929,0.979216,0.992117
199,6142,0.864127,0.934253,0.986615,0.990393,0.924755,1,0.977062,0.967619,0.997482
200,2164,0.907937,0.930351,1,1,0.935649,1,0.986314,0.905018,0.990451
201,3086,0.896803,0.94478,0.952978,0.97306,0.91075,0.981464,0.960093,0.941918,0.994045
202,1629,0.914199,0.93026,0.964103,0.995502,0.91438,0.992664,0.962624,0.956314,0.987199
203,1582,0.889721,0.944612,0.983977,1,0.924639,0.983453,0.985359,0.908009,0.993536
204,5733,0.877782,0.97069,0.981902,0.986455,0.919071,1,0.985061,0.941808,0.983496
205,3211,0.890062,0.944862,0.992372,0.9726,0.911598,0.994447,0.976648,0.930021,0.992398
206,5010,0.883082,0.906681,0.976491,0.990836,0.922494,0.997484,0.979066,0.972657,0.97089
207,7592,0.89914,0.934815,0.980724,1,0.919037,0.976061,0.982693,0.964739,0.986061
208,4439,0.866929,0.932458,0.989569,0.980499,0.918653,1,0.976475,0.968736,0.974277
209,1903,0.916092,0.931584,0.987746,1,0.912854,0.991431,0.966643,0.947551,0.998074
210,3884,0.90834,0.914097,0.946959,0.962435,0.923274,0.989682,0.994357,0.990424,1
211,3186,0.874136,0.924107,0.982546,0.979839,0.910311,0.988969,0.992281,0.969009,1
212,2331,0.901538,0.928406,0.990937,1,0.908095,0.983074,0.984914,0.980622,0.994509
213,2388,0.866466,0.957482,0.997911,1,0.953487,0.992949,0.998955,0.849099,1
214,10224,0.878339,0.914931,0.997991,1,0.931939,1,0.985284,0.937825,0.972493
215,3809,0.892438,0.940814,0.990642,0.993519,0.911396,0.982951,0.990911,0.970125,0.975019
216,3933,0.90971,0.918798,0.97466,1,0.913203,0.971285,0.959266,0.959917,0.996063
217,2110,0.903613,0.933275,0.996609,1,0.936665,1,0.992934,0.902837,0.979372
218,2846,0.897929,0.917867,0.98385,0.990183,0.900888,0.998921,0.958381,0.972595,0.987224
219,3721,0.901059,0.937731,0.948004,0.991879,0.927401,1,0.984849,0.872938,0.996729
220,5126,0.889893,0.955996,0.988019,0.962195,0.916801,1,0.979652,0.947684,0.992244
221,2534,0.885535,0.923887,0.953505,0.992663,0.909589,0.989626,0.9581,0.970141,0.998495
222,5713,0.87719,0.922096,0.984436,0.998996,0.90246,0.988955,0.964047,0.959919,0.988759
223,3222,0.892412,0.941269,1,0.998031,0.931537,0.987586,0.991581,0.903171,0.996262
224,4994,0.893588,0.906775,0.983819,1,0.931335,0.999947,0.999422,0.905514,0.995718
225,2933,0.902614,0.925328,0.98813,1,0.927244,0.998085,0.983436,0.907551,0.98376
226,3239,0.915073,0.929869,0.991898,0.996484,0.910853,0.993502,0.972966,0.935046,0.990379
227,4666,0.888062,0.93703,0.984208,1,0.915074,0.997756,0.982248,0.938024,0.994547
228,3723,0.90014,0.92547,0.990072,0.994005,0.909711,0.995297,0.979319,0.945299,0.994225
229,1776,0.900301,0.940424,0.999144,0.98283,0.915136,1,0.96968,0.892546,1
230,4575,0.888111,0.931675,0.982434,1,0.912929,1,0.984486,0.939292,0.987212
231,4144,0.907493,0.916535,0.99176,0.98408,0.922028,0.998858,0.996063,0.927837,0.996938
232,2045,0.90847,0.924109,0.951613,0.990532,0.905474,1,0.97732,0.945262,0.986428
233,4444,0.876916,0.928468,0.976577,0.991475,0.903485,0.998548,0.975824,0.96133,0.986231
234,2035,0.876095,0.928901,0.987984,1,0.933912,1,0.990597,0.899049,0.987068
235,2838,0.904078,0.948067,0.980164,0.995392,0.918194,0.999338,0.974682,0.934322,0.999047
236,5196,0.859913,0.939412,0.972196,0.99727,0.9084,0.986436,0.98334,0.943126,0.991642
237,4694,0.900878,0.94133,0.987501,0.994578,0.905921,0.991568,0.975084,0.922785,0.984411
238,6183,0.872227,0.948832,0.981168,0.980449,0.908984,0.995845,0.995685,0.937458,0.979437
239,3801,0.919172,0.947206,0.985089,0.987262,0.906903,0.972709,0.96198,0.970536,0.990096
240,4877,0.900761,0.894026,0.986982,1,0.911637,0.995576,0.976388,0.937504,0.98687
241,2153,0.872411,0.93684,0.971999,0.988377,0.910371,0.998547,0.980399,0.949466,0.981958
242,1685,0.906644,0.939427,0.993986,0.989958,0.932917,0.992527,0.980587,0.887932,0.998394
243,3614,0.907923,0.928235,0.982885,0.984346,0.901722,0.994681,0.974921,0.937247,0.971228
244,1569,0.911811,0.927311,0.972555,0.980499,0.89234,0.987965,0.979812,0.964999,0.976348
245,4777,0.873029,0.91398,0.978143,0.996672,0.905407,0.9967,0.982965,0.962546,0.98635
246,2338,0.900828,0.956239,0.981354,0.990506,0.907561,0.984142,0.988534,0.938882,0.985299
247,3679,0.934831,0.930078,0.983827,0.962954,0.936823,0.976684,0.979764,0.943701,0.96306
248,3544,0.895474,0.937315,0.999209,1,0.918742,0.958465,0.983646,0.94553,0.993647
249,1810,0.920559,0.922328,0.950975,1,0.912623,0.988635,0.973704,0.954956,0.967123
250,6240,0.885729,0.914854,0.972926,0.999614,0.92059,0.993937,0.976254,0.990193,0.979612
251,4480,0.895354,0.942701,0.989845,1,0.92262,0.991749,0.977253,0.893222,0.988093
252,5260,0.862246,0.927341,0.995423,1,0.935928,0.992785,0.987913,0.899289,0.997362
253,2697,0.912659,0.933586,0.973729,1,0.917871,0.996973,0.977467,0.928216,0.991445
254,3321,0.902475,0.935887,0.966705,0.993702,0.913059,0.98688,0.961136,0.937403,0.996356
255,3589,0.895314,0.945145,0.977168,1,0.910126,0.991638,0.963012,0.976254,0.99061
256,4220,0.907062,0.925929,0.993178,0.973797,0.923132,1,0.989325,0.930182,0.979962
257,8069,0.891458,0.945365,0.997842,0.999246,0.915642,0.979196,0.96206,0.936393,0.994487
258,3655,0.891666,0.945985,0.987847,1,0.926142,0.995039,0.974012,0.943918,0.993138
259,3403,0.887102,0.924677,0.974729,1,0.920557,0.991845,0.986687,0.934532,0.974988
260,6227,0.885027,0.915411,0.981619,0.987621,0.905721,0.979181,0.990122,0.985839,0.982057
261,6776,0.878554,0.943539,0.990477,0.994281,0.92034,1,0.971028,0.93051,0.970596
262,4465,0.909426,0.942268,0.972732,0.99694,0.912732,0.998852,0.963005,0.92847,0.985574
263,7217,0.885886,0.940545,0.987213,0.982874,0.921792,0.994919,0.964036,0.950678,0.996061
264,5067,0.879942,0.927098,0.949953,0.994717,0.910554,0.991853,0.969054,0.999583,0.983012
265,5202,0.890446,0.928556,0.983412,1,0.915407,1,0.967323,0.947612,0.974777
266,1889,0.872678,0.942119,0.996685,0.993179,0.944749,0.999069,0.99863,0.879417,1
267,8725,0.855861,0.931783,0.986509,1,0.909373,0.98888,0.9733,0.933505,0.994158
268,4271,0.916471,0.906639,0.993063,1,0.929399,1,0.979963,0.866967,0.999369
269,2194,0.875919,0.937455,0.971303,1,0.924633,1,0.987603,0.903979,1
270,5678,0.89519,0.940296,0.971542,0.993898,0.908472,0.989269,0.962731,0.966045,0.966071
271,10165,0.863346,0.905319,0.989159,0.995931,0.916,1,0.998554,0.942072,0.995637
272,4223,0.860154,0.931778,0.99475,1,0.939171,1,1,0.920341,0.999223
273,2573,0.883612,0.92486,0.981699,0.987486,0.914455,0.985035,0.985462,0.938685,0.990137
274,3787,0.87847,0.910655,0.920621,0.958992,0.897347,0.982823,0.969749,0.954507,0.978191
275,5510,0.912814,0.956122,0.933682,0.998482,0.925931,1,0.983007,0.920944,1
276,4844,0.912661,0.905064,0.947077,0.994945,0.905521,0.985234,0.963414,0.962671,0.990232
277,1594,0.936512,0.933525,0.988982,1,0.917125,0.998056,0.976498,0.927466,0.963705
278,2757,0.916491,0.939104,1,1,0.918039,0.993593,0.982727,0.933417,0.999519
279,3143,0.910062,0.931221,0.991386,0.991709,0.915312,0.956552,0.96374,0.954076,0.996635
