"simulation","iteration","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
210,3884,0.855099,0.860999,0.8781,0.907741,0.905204
211,3186,0.826671,0.868289,0.84905,0.872638,0.828082
212,2331,0.855479,0.880454,0.869819,0.886185,0.884772
213,2388,0.810081,0.820266,0.79906,0.830609,0.796762
214,10224,0.782347,0.783365,0.837927,0.892121,0.883801
215,3809,0.845111,0.868156,0.856432,0.902038,0.88663
216,3933,0.852575,0.891208,0.870959,0.885938,0.913588
217,2110,0.85498,0.881458,0.865178,0.886712,0.872761
218,2846,0.860623,0.859047,0.853986,0.883742,0.885512
219,3721,0.8509,0.864673,0.828948,0.815203,0.90126
220,5126,0.823567,0.8609,0.871518,0.887891,0.881943
221,2534,0.837938,0.868012,0.866615,0.872447,0.849226
222,5713,0.813316,0.829187,0.865252,0.872532,0.869268
223,3222,0.841243,0.88131,0.861505,0.891556,0.862076
224,4994,0.820747,0.878563,0.842654,0.877617,0.866742
225,2933,0.85411,0.863606,0.874747,0.879522,0.896544
226,3239,0.864043,0.902048,0.865871,0.893581,0.892737
227,4666,0.817764,0.868265,0.870622,0.884625,0.8696
228,3723,0.841534,0.86579,0.861912,0.888974,0.884079
229,1776,0.859659,0.859685,0.873223,0.880408,0.87369
230,4575,0.842636,0.8638,0.845953,0.897386,0.888449
231,4144,0.871619,0.879712,0.846705,0.901806,0.894125
232,2045,0.869042,0.899602,0.865716,0.886389,0.882913
233,4444,0.823374,0.873501,0.834642,0.860969,0.868929
234,2035,0.837244,0.841474,0.845677,0.86195,0.862812
235,2838,0.865281,0.880244,0.879237,0.90527,0.870736
236,5196,0.824595,0.830196,0.806388,0.888392,0.838272
237,4694,0.834996,0.897544,0.860129,0.888271,0.878375
238,6183,0.796713,0.837893,0.8543,0.870149,0.875103
239,3801,0.851578,0.902666,0.877328,0.876035,0.902116
240,4877,0.845534,0.898507,0.835587,0.887602,0.872161
241,2153,0.828191,0.855637,0.857381,0.856377,0.836776
242,1685,0.848786,0.872694,0.873044,0.864403,0.853719
243,3614,0.881521,0.885159,0.83908,0.888825,0.870001
244,1569,0.866179,0.882067,0.858205,0.863999,0.873227
245,4777,0.813662,0.843557,0.848436,0.859435,0.881772
246,2338,0.87048,0.877949,0.858356,0.889625,0.88597
247,3679,0.906628,0.934964,0.878877,0.911329,0.91757
248,3544,0.86866,0.849168,0.876314,0.864042,0.90897
249,1810,0.877036,0.905903,0.874768,0.891912,0.890612
250,6240,0.807269,0.899192,0.855058,0.896101,0.860229
251,4480,0.830135,0.868114,0.852932,0.850647,0.889414
252,5260,0.783449,0.837748,0.859877,0.861896,0.82803
253,2697,0.867435,0.878412,0.871858,0.898708,0.887046
254,3321,0.842648,0.887752,0.868393,0.884341,0.881892
255,3589,0.844226,0.855757,0.87114,0.893373,0.881186
256,4220,0.838328,0.900468,0.882828,0.902295,0.886396
257,8069,0.835886,0.807723,0.874659,0.910519,0.879131
258,3655,0.841702,0.87254,0.871025,0.896131,0.872954
259,3403,0.857538,0.835408,0.870015,0.880244,0.879322
260,6227,0.843045,0.784589,0.857205,0.867896,0.880119
261,6776,0.82792,0.857216,0.829026,0.895333,0.893094
262,4465,0.878743,0.905792,0.845792,0.889563,0.905082
263,7217,0.805509,0.85523,0.877779,0.915427,0.89148
264,5067,0.817522,0.844687,0.868932,0.890563,0.868543
265,5202,0.856089,0.826824,0.86399,0.89231,0.884121
266,1889,0.822084,0.838273,0.828138,0.844026,0.84682
267,8725,0.774463,0.837769,0.811408,0.884564,0.855607
268,4271,0.793126,0.84478,0.83512,0.870836,0.838216
269,2194,0.836815,0.850461,0.865353,0.854628,0.848204
270,5678,0.850425,0.881276,0.841693,0.888588,0.909892
271,10165,0.754745,0.842011,0.836149,0.879782,0.889097
272,4223,0.795013,0.81478,0.842262,0.839664,0.841512
273,2573,0.849064,0.862433,0.848408,0.858043,0.893618
274,3787,0.834589,0.848337,0.850945,0.837374,0.880492
275,5510,0.870101,0.840696,0.874221,0.912217,0.902894
276,4844,0.850998,0.893697,0.834833,0.881358,0.880302
277,1594,0.878857,0.90636,0.876715,0.888635,0.89227
278,2757,0.900953,0.893852,0.870171,0.904477,0.881411
279,3143,0.866884,0.874233,0.862442,0.910574,0.89663
280,4616,0.823683,0.843585,0.817328,0.876536,0.816282
281,3630,0.839928,0.87817,0.861358,0.893461,0.879441
282,3989,0.853134,0.871058,0.867688,0.898787,0.906268
283,7950,0.795073,0.831001,0.846733,0.902702,0.86127
284,3087,0.833038,0.865216,0.819203,0.831839,0.823867
285,3310,0.855037,0.846377,0.850159,0.887948,0.856516
286,4233,0.842455,0.906145,0.879425,0.887688,0.88836
287,5535,0.841977,0.840701,0.861185,0.902471,0.881456
288,3267,0.864142,0.889638,0.874296,0.904869,0.901429
289,3317,0.831658,0.855341,0.82163,0.855501,0.854967
290,3615,0.842127,0.880625,0.873357,0.896008,0.88598
291,2245,0.840078,0.852234,0.858852,0.87163,0.853369
292,5077,0.829239,0.871331,0.845904,0.903693,0.859424
293,3544,0.868556,0.89415,0.886814,0.902709,0.913297
294,5099,0.822371,0.871943,0.873439,0.890498,0.886898
295,5365,0.820995,0.853376,0.870773,0.887654,0.881503
296,2025,0.841412,0.873605,0.862388,0.867081,0.866651
297,3804,0.84617,0.870666,0.871424,0.901228,0.880085
298,2549,0.840324,0.859049,0.869061,0.868898,0.837618
299,2522,0.825091,0.855464,0.851812,0.856673,0.849291
300,4810,0.842204,0.903677,0.878532,0.901471,0.86849
301,6710,0.796556,0.860726,0.857293,0.88434,0.89115
302,5712,0.839116,0.838953,0.840852,0.907338,0.901234
303,1510,0.835354,0.826387,0.834956,0.823973,0.810734
304,3761,0.8201,0.862991,0.843636,0.862535,0.866663
305,1180,0.853338,0.865791,0.861685,0.847773,0.855661
306,1716,0.86081,0.884933,0.879092,0.880465,0.857364
307,4258,0.851951,0.870414,0.838995,0.881242,0.891617
308,3458,0.847578,0.874673,0.841692,0.919851,0.848544
309,2812,0.807732,0.825878,0.832438,0.851566,0.83342
310,4640,0.835964,0.874032,0.859868,0.89969,0.884959
311,3314,0.843766,0.908853,0.87208,0.864746,0.882583
312,3455,0.834217,0.888755,0.871179,0.879171,0.857916
313,4024,0.84161,0.84423,0.851878,0.872492,0.884069
314,2205,0.847276,0.870143,0.863137,0.854646,0.833811
315,2694,0.846689,0.872438,0.868439,0.869957,0.882145
316,1983,0.882878,0.904131,0.867108,0.879214,0.873107
317,6070,0.852045,0.818943,0.868009,0.872365,0.888877
318,4636,0.814772,0.859739,0.846572,0.864263,0.874414
319,2643,0.861867,0.89344,0.869816,0.88986,0.889071
320,4209,0.821654,0.886855,0.877255,0.872527,0.872614
321,3923,0.82427,0.837436,0.809416,0.859538,0.861999
322,2409,0.828525,0.86024,0.838722,0.861712,0.836072
323,7874,0.828283,0.910125,0.827974,0.885943,0.891307
324,2087,0.853105,0.864855,0.855853,0.881222,0.866667
325,2467,0.805674,0.81903,0.81223,0.828877,0.835704
326,2140,0.855582,0.857735,0.876678,0.882625,0.861125
327,3121,0.871876,0.870404,0.88436,0.899787,0.91214
328,7296,0.818289,0.836391,0.863932,0.882141,0.903981
329,2762,0.839077,0.870602,0.862569,0.836501,0.850324
330,3926,0.848467,0.879846,0.854122,0.899416,0.870167
331,6663,0.82054,0.819666,0.839095,0.90757,0.860429
332,4418,0.826434,0.790253,0.858637,0.8376,0.861598
333,5366,0.846698,0.854884,0.854326,0.894804,0.899801
334,1890,0.880104,0.903181,0.862481,0.877796,0.881153
335,2606,0.879576,0.864653,0.8775,0.902129,0.888973
336,4491,0.852522,0.870987,0.827357,0.902851,0.865868
