"China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
0,0,0.00275787582212463,0.0386490747067471,0.0287572843098844
0,0,0,0.00772240277379532,0
0,0,0.0820590624774547,0.10108767465914,0.0480500807123347
0,0.00204868724091757,0,0,0
0,0,0.0140599835752569,0.021312962406514,0
0,0,0,0,0.0167560127743464
0,0,0,0.0211549175350328,0
0,0.0402893453883342,0.031204102157574,0,0.0655336981679328
0,0,0.000751529614998851,0,0
0,0,0,0,0
0,0,0.0157205606542871,0,0.0459454095974244
0,0,0,0,0
0,0,0.0245730116679519,0,0.00835611591097318
0,0,0.0061582324848485,0,0
0,0,0.0885512196083845,0.0401932826383085,0.053737775477273
0,0,0,0.0617990990308421,0.00572036447970171
0,0,0.0473559374576668,0,0
0.037327092374869,0,0,0,0.00198331432514585
0,0,0.045979256586994,0.01852536569808,0
0,0,0.00895380533833984,0.0345123448856479,0.0306919454782316
0,0,0.00601597599037391,0.0366762190657441,0
0.0167125185042216,0,0,0.0553595958326322,0.0146363523246379
0,0,0.0372218024619788,0.0665690454124859,0.035296595847078
0,0,0,0.0229758097479565,0.0159069068046088
0,0,0,0,0.0728715135992737
0,0,0,0,0
0,0.000841153469372,0.022030477147222,0.0426598265263487,0
0.00900428244039912,0,0.0107741080821318,0.0211177033409092,0.0264275796069487
0,0,0,0.0222142613209455,0.0497762490410832
0,0,0,0,0
0,0,0,0,0.00764788418481648
0,0.0712797781696327,0.104687489843983,0.0378680186308919,0.0347777519776638
0,0.00303233580373027,0.0232573859494926,0.00993895156796736,0.0197651351711759
0,0,0,0.0176503022000499,0
0,0,0,0,0.00619676780491279
0,0,0.0397426925353532,0.0190677038173216,0.0110642216299631
0,0,0.0358378697317601,0.000326491149825074,0
0.0146307480792749,0,0.0773692422181117,0.0539338411393616,0.00929584185277525
0,0,0.034173931383101,0,0.00307828708998479
0,0,0.0208695927878425,0,0
0,0,0,0,0
0,0,0,0.0294009313145317,0.00717285840865501
0,0,0.0112336806586218,0,0
0,0,0.04660996650284,0,0
0,0,0.0515352701044304,0,0.00101220648731327
0,0,0,0.098365717880612,0
0.0115248469108895,0,0.0516369250236337,0.0282625129906403,0.0167031643313431
0,0,0.00596122617124047,0,0
0,0,0.0507842308870193,0,0
0.0333006642041511,0,0.036750632344374,0.0539693923459858,0.0392101653041688
0,0,0.00909949466353768,0,0
0,0,0.0321669373943017,0.0317638911201527,0
