"China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
3753,1138,4639,1713,3305
3778,1301,4303,1949,2710
4333,1387,4241,1820,2590
3277,1336,4072,1268,2574
3816,1339,4437,1973,2357
3609,1592,4433,1687,3010
4248,1266,4882,1988,2462
4143,1140,4213,1946,2249
3683,1654,4027,2600,2498
3312,1137,3843,1580,1541
4563,1055,4084,1795,2565
3265,973,3878,1583,1687
3390,1495,3811,1616,1944
3506,1308,3864,1855,2388
3743,1343,3636,2452,2766
3550,2167,4325,1291,2767
2806,1426,4009,1975,2292
3564,1803,4162,2450,2533
3863,1503,4147,1761,2406
3507,991,4124,1610,1975
4293,1365,4090,1822,2339
3885,1471,4495,2054,2881
3888,780,3977,1900,2739
3268,1312,4400,1828,2898
3024,962,4162,1663,2407
3668,1259,4308,1567,2662
4014,1444,4310,2010,2671
3543,1072,4397,1763,2657
3732,1763,4109,1937,2689
3324,1360,3926,1920,2777
3905,1349,4375,2058,2638
3598,1402,3197,1873,2629
3570,1314,4079,1751,3490
3301,629,4240,900,2237
3519,1253,4246,998,2028
3389,1273,4297,2757,2705
3942,1431,5522,1698,2200
3326,1183,4208,2375,2747
3505,1567,3814,1700,2418
3859,945,4085,1919,2704
4285,1798,4486,2443,2749
4360,1245,4363,1778,2820
4061,1527,4258,1793,3459
2931,1365,3608,2008,2773
2930,1335,4398,1403,2640
3846,614,4128,1507,2888
3885,460,4459,1920,2870
3760,1095,4277,2054,2799
3568,1095,4389,1487,2510
3494,1763,4324,1974,2486
3570,1061,3564,1888,3162
3972,1146,4472,1789,2831
3652,2053,4288,1826,2747
4010,1147,4596,1983,3200
3492,1337,3754,2050,2724
3595,1103,3610,1409,1679
3743,1461,4515,2547,2446
3860,1368,4578,2079,3104
3719,1054,3859,1651,3022
3597,1077,4650,1751,3402
3951,1392,4518,1803,2848
3850,379,3991,1895,2865
4211,901,4021,1688,2695
2974,1040,3420,1632,2146
2852,1212,4955,2815,2048
3899,1952,4597,1403,2906
2569,1223,4622,1703,2566
3729,1416,3576,1844,3843
3509,1937,4256,1759,2286
4430,1257,4335,2083,2921
3550,1126,3856,1308,2235
3108,1575,4051,1623,2766
3789,1384,4577,1352,2933
4237,1273,4590,2250,3030
3935,1363,4127,1750,2805
3826,1969,4033,1949,2602
3187,1291,3898,1776,2730
3908,1550,3492,1784,2497
4044,353,4294,1928,2780
3762,1282,5208,1426,2569
3649,1116,4568,1779,3256
4289,2017,4611,1763,3175
3870,1410,4193,1811,3080
4388,1094,4061,2122,2671
3346,861,4275,1755,2335
3921,2034,4241,1720,2731
3505,1226,3623,1688,1625
3614,615,4142,1780,2421
3669,1263,4304,1942,2385
2885,625,3998,1968,2808
4389,1294,4743,2977,2715
3683,1279,4153,2682,2217
3593,1097,3965,1770,2487
