"Simulation","Scenario","Region","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
11,"Business As Usual","South Asia",0,0,0.0453950273574983,0.0147349795999442,0.0114486138423476
11,"Business As Usual","Western and Central Europe",0.109293974201699,NA,NA,0.0746448833557129,0.0774284510296241
11,"Business As Usual","Western Asia",0.0861464183481399,0.121239080366633,NA,0.123478350348368,0.118473040801125
12,"Business As Usual","Africa",0.166774297508745,0.169934586508451,0.153874519677437,0.120457852951692,0.107961507413415
12,"Business As Usual","East Asia",0.0943371993770923,0.0759228891653252,0.125577586374524,0.0920031384927227,0.0689991338980177
12,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.05191908815465
12,"Business As Usual","Latin America",0.0727125015724938,0.0504196687206561,0,0.0349395741183664,0
12,"Business As Usual","North America",0.131224690771591,NA,0.0135941181035976,0.0892141116121084,0.032804872810283
12,"Business As Usual","Oceania",0.220367458241033,0.155684143856825,0.175504963991496,0.163027623561542,0.104715184929719
12,"Business As Usual","South Asia",0,0,0.00568085341813446,0,0.0131167046811362
12,"Business As Usual","Western and Central Europe",0.160696477483435,NA,NA,0.171429259738261,0.0680273401468218
12,"Business As Usual","Western Asia",0.182989896870355,0.154042866717056,NA,0.148592071802944,0.168098637619527
13,"Business As Usual","Africa",0.255870842447762,0.176943870259239,0.188394134897639,0.0825867126428945,0.143294268424805
13,"Business As Usual","East Asia",0.0848669974578192,0.0416308644887936,0.0743104787598418,0.0559626281637968,0.00258521244293615
13,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.109181849333088
13,"Business As Usual","Latin America",0.124138972213638,0.0991389530463599,0.0534244130163443,0.0407378566623866,0.0315553099013073
13,"Business As Usual","North America",0.144563650663603,NA,0.0702383648558999,0.0772985496634794,0.0566748399834255
13,"Business As Usual","Oceania",0.29073262192296,0.193645902403347,0.235826540283486,0.138576573016011,0.142139487376321
13,"Business As Usual","South Asia",0,0,0,0,0
13,"Business As Usual","Western and Central Europe",0.198960083239802,NA,NA,0.110401355527686,0.113286801415357
13,"Business As Usual","Western Asia",0.213274887299468,0.192892965060112,NA,0.139352130892497,0.153066547308986
14,"Business As Usual","Africa",0.259388538076538,0.216897398213248,0.16006429321945,0.177281631335199,0.236312040005786
14,"Business As Usual","East Asia",0.134221507254532,0.104236862452756,0.0956614057094002,0.0397862373083171,0.116701502910337
14,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.180330725089614
14,"Business As Usual","Latin America",0.170661073124404,0.126729427444229,0.0804244904159615,0.0692420279400096,0.0838477889876717
14,"Business As Usual","North America",0.151354456734988,NA,0.0837221985278912,0.155138841966238,0.129953888683385
14,"Business As Usual","Oceania",0.23811971343657,0.222902949072725,0.195938416989644,0.174985937120339,0.165196221563154
14,"Business As Usual","South Asia",0,0,0,0,0
14,"Business As Usual","Western and Central Europe",0.233458456742199,NA,NA,0.127879061332922,0.140330905295422
14,"Business As Usual","Western Asia",0.30718973232409,0.173844081451697,NA,0.178243614911561,0.192953398341166
15,"Business As Usual","Africa",0.197557049852764,0.165570136709642,0.147787571666117,0.0964739364165597,0.102591455344587
15,"Business As Usual","East Asia",0.0070753525570565,0.131093520186989,0.0590510767880932,0.0776256559235841,0.0824957215002465
15,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.109111120031008
15,"Business As Usual","Latin America",0.0363976465146547,0.0841206742191936,0.0292015347600122,0,0.0153454750104908
15,"Business As Usual","North America",0.0696493389302574,NA,0,0.0103799475522342,0.0522447635998687
15,"Business As Usual","Oceania",0.110741372338036,0.155876459884589,0.0887477343269654,0.118596046634882,0.0420566307545365
15,"Business As Usual","South Asia",0,0,0.0169948518917981,0.0138462198562473,0
15,"Business As Usual","Western and Central Europe",0.135940485769283,NA,NA,0.051706939145168,0.0801956080439662
15,"Business As Usual","Western Asia",0.13882326651661,0.187720139300252,NA,0.158389251523769,0.155295400203339
16,"Business As Usual","Africa",0.18378766054234,0.140270270133091,0.181437805237666,0.164174804594562,0.149908664371315
16,"Business As Usual","East Asia",0.0396647722439446,0.0460987678778135,0.0518961528761283,0,0.0321455862155185
16,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.109727038015934
16,"Business As Usual","Latin America",0.103993817928896,0.0572816075743341,0.0565702597178637,0.0678933004372248,0.0419071996188548
16,"Business As Usual","North America",0.115569987739207,NA,0,0.0905341730066524,0.0574781241777223
16,"Business As Usual","Oceania",0.142446554450902,0.167018278927718,0.261380534174487,0.175121972764156,0.145728589926629
16,"Business As Usual","South Asia",0,0,0.0334598379070934,0.0490865695875018,0
16,"Business As Usual","Western and Central Europe",0.180611938594371,NA,NA,0.218836804057662,0.134342175363564
16,"Business As Usual","Western Asia",0.200168163439509,0.16420082204423,NA,0.187252995278469,0.184279450383626
17,"Business As Usual","Africa",0.192115507481393,0.157123840854834,0.187778031708494,0.106756586630635,0.112108653270704
17,"Business As Usual","East Asia",0.0527364284449002,0.0834090189080293,0.0581252703567265,0.0300873117324621,0.0564912152561856
17,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.0890991500452187
17,"Business As Usual","Latin America",0.0434991953088149,0.0514541339480554,0.0172481507603786,0,0
17,"Business As Usual","North America",0.105828831182413,NA,0.102839692150214,0.0657218783835643,0.0601673704761652
17,"Business As Usual","Oceania",0.151359987939477,0.144711045370894,0.142979100852568,0.134971614823215,0.0989890962818272
17,"Business As Usual","South Asia",0,0,0,0.0462868341728008,0.0731790055424778
17,"Business As Usual","Western and Central Europe",0.162323116173861,NA,NA,0.141873654433974,0.0151523444930004
17,"Business As Usual","Western Asia",0.14735996632724,0.146558999050412,NA,0.120626376777088,0.138640697297262
18,"Business As Usual","Africa",0.156560561603388,0.157462613650181,0.112796801755641,0.104580023147319,0.132435142076994
18,"Business As Usual","East Asia",0.0557693308965161,0.0333629626499454,0.0277276245212679,0.0312295878178587,0.0295824171395202
18,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.168633747111941
18,"Business As Usual","Latin America",0.0676523147957291,0.0605468139216176,0,0.00640630681417385,0.0181517539636887
18,"Business As Usual","North America",0.102826159746837,NA,0.0195488924071576,0.0729795722205603,0.0609488219726791
18,"Business As Usual","Oceania",0.179911207676794,0.146294000277188,0.120456582698858,0.0462503810819726,0.092837134656478
18,"Business As Usual","South Asia",0,0,0.0253102684016104,0,0
18,"Business As Usual","Western and Central Europe",0.142724081127163,NA,NA,0.0944457878587726,0.11007061763941
18,"Business As Usual","Western Asia",0.200459214564309,0.186752009316826,NA,0.122293531042751,0.155675358137083
19,"Business As Usual","Africa",0.169631739394992,0.126078346680338,0.196079781539711,0.0900118324960735,0.0574809033690298
19,"Business As Usual","East Asia",0.0611387292918602,0.0597100504131923,0.0767861350514344,0.0190510726265438,0.0018554443693505
19,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.100451085846732
