"Scenario","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
"Business As Usual",4359,1013,4145,1936,3261
"Business As Usual",3992,1382,3963,1136,2621
"Business As Usual",3437,1414,4921,1705,3315
"Business As Usual",3877,1350,4138,2004,3241
"Business As Usual",3940,1565,4423,2026,3021
"Business As Usual",3814,916,3880,1676,2766
"Business As Usual",4445,1305,4035,2259,2516
"Business As Usual",4165,1559,4511,2249,2891
"Business As Usual",3344,1003,3934,1841,2818
"Business As Usual",3834,1781,5122,1862,2527
"Business As Usual",3442,1289,3981,1695,3204
"Business As Usual",3509,1461,4096,2741,2525
"Business As Usual",3069,1152,4607,2179,2938
"Business As Usual",3958,1162,4092,1807,2713
"Business As Usual",3866,1924,4114,1895,2005
"Business As Usual",3675,1116,4381,1964,2605
"Business As Usual",3391,1386,3976,1012,2561
"Business As Usual",4030,1567,4490,2644,2998
"Business As Usual",4009,2214,4500,1755,2447
"Business As Usual",3887,1565,3568,1993,2862
"Business As Usual",2944,1113,3727,2560,3282
"Business As Usual",3128,1461,3853,1757,2092
"Business As Usual",4304,1394,3918,970,2511
"Business As Usual",4516,1407,4228,1581,2816
"Business As Usual",3240,1327,3321,1633,2902
"Business As Usual",3676,1975,3973,2061,2369
"Business As Usual",3174,980,3779,2147,2315
"Business As Usual",3767,1393,4387,2050,3257
"Business As Usual",3603,1272,4793,1920,2691
"Business As Usual",3781,1720,4011,1694,1971
"Business As Usual",3889,1384,4318,1082,2616
"Business As Usual",3729,2168,4388,1911,2758
"Business As Usual",3415,1504,4320,1723,2673
"Business As Usual",4161,1067,4821,2559,2512
"Business As Usual",3772,1303,4102,2330,2734
"Business As Usual",3737,1570,5317,1808,2595
"Business As Usual",4345,1265,4667,2258,2903
"Business As Usual",4110,1438,4401,2066,2704
"Business As Usual",3762,664,4889,1602,2321
"Business As Usual",3681,1997,3936,2233,2487
"Business As Usual",4006,1942,4816,2546,2806
"Business As Usual",3178,657,4057,1907,2431
"Business As Usual",3425,1177,4574,2707,2392
"Business As Usual",3830,620,3902,1907,2451
"Business As Usual",2833,784,4497,936,2830
"Business As Usual",3493,1360,4155,1894,2989
"Business As Usual",3294,1437,4270,1918,2377
