"Scenario","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
"Stratified Societies",3438,948,3263,1887,2554
"Stratified Societies",3626,1243,3303,902,2491
"Stratified Societies",3631,1334,4090,1792,2693
"Stratified Societies",4115,1387,3546,1405,2637
"Stratified Societies",3520,1485,4248,1864,2718
"Stratified Societies",3801,924,5077,1887,2023
"Stratified Societies",3850,1378,4230,1547,2247
"Stratified Societies",4024,1408,4787,2274,2666
"Stratified Societies",3583,2071,4002,910,2346
"Stratified Societies",3877,2361,4516,1894,2758
"Stratified Societies",3501,1950,4562,2278,2435
"Stratified Societies",3761,1127,4158,1719,2516
"Stratified Societies",4601,1923,3680,1984,3455
"Stratified Societies",4719,1323,4297,2566,2968
"Stratified Societies",3575,1158,4097,1662,2421
"Stratified Societies",4409,1237,4649,2163,2934
"Stratified Societies",3918,1390,4159,1776,2958
"Stratified Societies",2896,1577,4283,2570,2616
"Stratified Societies",4017,1055,3691,1920,2807
"Stratified Societies",4231,868,4070,1871,1586
"Stratified Societies",4682,1313,4262,2108,2879
"Stratified Societies",3493,1068,4355,1675,2674
"Stratified Societies",3661,1357,4471,1310,2431
"Stratified Societies",4472,1612,4369,1995,2703
"Stratified Societies",3973,1429,3576,2145,3368
"Stratified Societies",4361,1014,4147,1937,3263
"Stratified Societies",4121,1427,4091,1173,2705
"Stratified Societies",3699,1521,5295,1835,3567
"Stratified Societies",4007,1396,4277,2071,3349
"Stratified Societies",3654,1452,4103,1879,2802
"Stratified Societies",3879,931,3946,1705,2813
"Stratified Societies",4784,1404,4342,2431,2708
"Stratified Societies",4146,1552,4490,2238,2877
"Stratified Societies",3575,1073,4205,1968,3012
"Stratified Societies",3939,1830,5262,1913,2596
"Stratified Societies",4175,1563,4829,2056,3886
"Stratified Societies",3585,1492,4185,2801,2580
"Stratified Societies",3028,1137,4545,2150,2899
"Stratified Societies",3984,1170,4119,1819,2731
"Stratified Societies",3725,1854,3964,1826,1931
"Stratified Societies",3620,1100,4316,1935,2566
"Stratified Societies",3652,1493,4282,1090,2758
"Stratified Societies",4043,1572,4504,2652,3007
"Stratified Societies",3894,2150,4370,1705,2376
"Stratified Societies",3689,1485,3387,1892,2717
"Stratified Societies",3294,1245,4171,2865,3673
"Stratified Societies",3505,1637,4317,1969,2344
"Stratified Societies",4469,1447,4069,1007,2608
"Stratified Societies",4244,1323,3974,1486,2646
"Stratified Societies",3394,1391,3479,1711,3040
"Stratified Societies",3869,2079,4181,2169,2493
"Stratified Societies",3797,1172,4521,2568,2770
"Stratified Societies",3583,1326,4173,1950,3098
"Stratified Societies",3954,1396,5260,2107,2953
"Stratified Societies",4205,1913,4460,1884,2192
"Stratified Societies",3750,1335,4164,1043,2523
"Stratified Societies",3907,2271,4596,2001,2889
"Stratified Societies",3741,1648,4733,1888,2928
"Stratified Societies",4210,1079,4878,2589,2542
"Stratified Societies",4076,1408,4433,2519,2954
"Stratified Societies",3402,1430,4841,1646,2362
"Stratified Societies",4416,1286,4743,2295,2951
"Stratified Societies",3876,1356,4151,1948,2550
"Stratified Societies",4032,712,5240,1717,2487
"Stratified Societies",3790,2056,4052,2299,2561
"Stratified Societies",4119,1996,4951,2618,2885
"Stratified Societies",3088,638,3942,1853,2362
"Stratified Societies",3750,1288,5008,2963,2618
"Stratified Societies",4186,678,4264,2084,2678
"Stratified Societies",2840,787,4509,939,2838
"Stratified Societies",3444,1341,4098,1868,2947
"Stratified Societies",3279,1431,4251,1909,2367
"Stratified Societies",3695,1128,4618,937,2656
"Stratified Societies",3680,373,3421,1675,1721
"Stratified Societies",3956,1348,4148,1920,3581
"Stratified Societies",3869,1521,4670,1897,3010
"Stratified Societies",3305,908,5086,1824,3361
"Stratified Societies",4243,1102,3792,2086,3019
"Stratified Societies",3746,650,4420,2006,2872
"Stratified Societies",3756,1154,4675,1821,2630
"Stratified Societies",4108,1264,4320,2063,2738
"Stratified Societies",4099,1110,4167,1827,2789
"Stratified Societies",4364,1552,4508,1872,2621
"Stratified Societies",3573,1561,4188,1678,2723
"Stratified Societies",3426,1391,4374,1913,2385
"Stratified Societies",3987,1255,4352,1994,2089
"Stratified Societies",4024,1232,4527,1469,2705
"Stratified Societies",3567,781,4144,1533,2656
"Stratified Societies",3792,1357,3277,2040,3441
"Stratified Societies",3934,2043,3724,2036,2416
"Stratified Societies",3878,2197,5344,1875,2937
"Stratified Societies",3605,1281,3956,1697,3015
"Stratified Societies",3855,937,3623,2049,2409
"Stratified Societies",4870,1175,5839,1775,2880
"Stratified Societies",3651,1023,4497,2521,2433
"Stratified Societies",4886,1170,4513,1933,2885
"Stratified Societies",3797,760,3810,1278,2658
"Stratified Societies",2864,1386,3557,1697,3624
"Stratified Societies",3681,1368,4262,1932,2410
"Stratified Societies",4037,768,4588,1303,2505
"Stratified Societies",4233,1047,3827,2085,3698
"Stratified Societies",3639,1007,5019,1653,2547
"Stratified Societies",4215,466,4372,2034,2771
"Stratified Societies",3544,628,3840,1364,2106
"Stratified Societies",3698,656,4781,2387,3017
"Stratified Societies",3719,446,3999,2789,2512
"Stratified Societies",3851,908,4504,2108,3621
"Stratified Societies",4117,1424,4725,1690,3726
"Stratified Societies",3538,1340,4415,1491,3103
"Stratified Societies",3156,1314,4256,1760,2986
"Stratified Societies",3718,1375,3635,2056,2745
"Stratified Societies",4501,1354,3756,1059,2652
"Stratified Societies",3928,1844,4300,2509,2943
"Stratified Societies",5015,1212,5104,1922,2581
"Stratified Societies",3695,1343,4926,2076,2919
"Stratified Societies",3322,1200,4505,2025,2439
"Stratified Societies",4034,2096,4543,1817,2532
"Stratified Societies",3285,1304,4239,1676,1609
"Stratified Societies",4072,1382,4504,1829,2851
"Stratified Societies",3996,1113,4221,2042,2795
"Stratified Societies",3741,2103,4372,2352,2716
"Stratified Societies",3938,1015,4422,2026,1901
"Stratified Societies",2989,1256,4498,1718,2907
"Stratified Societies",4016,1699,5104,1510,3738
"Stratified Societies",4058,1727,4442,2042,2861
"Stratified Societies",4162,1137,4679,2360,2676
"Stratified Societies",3408,1427,4411,2060,1758
"Stratified Societies",3317,993,4346,1494,2942
"Stratified Societies",4030,1159,4672,2129,2508
"Stratified Societies",3890,1679,4561,1936,2184
"Stratified Societies",3393,2162,4536,1997,2713
"Stratified Societies",3762,1131,5270,2098,2578
"Stratified Societies",4100,1274,4219,1827,2604
"Stratified Societies",3915,1150,4347,2092,2869
"Stratified Societies",4574,1454,4379,2602,3434
"Stratified Societies",4083,2121,4474,1782,2809
"Stratified Societies",3400,1485,4236,1603,2460
"Stratified Societies",3158,1329,4460,1962,2724
"Stratified Societies",4388,2093,4365,1813,2752
"Stratified Societies",4095,1341,4582,2032,3453
"Stratified Societies",3521,1225,3972,985,2681
"Stratified Societies",3530,1312,4684,2772,2730
"Stratified Societies",3833,453,4070,1732,2931
"Stratified Societies",3637,1768,4208,991,2880
"Stratified Societies",4009,1085,3497,2103,2909
"Stratified Societies",3891,1392,4337,1441,2318
"Stratified Societies",3719,1121,4252,2179,2270
"Stratified Societies",4656,1451,5395,1989,2857
"Stratified Societies",3665,1386,5155,2057,2442
"Stratified Societies",4525,1115,4119,2660,2556
"Stratified Societies",3857,1863,4959,2048,2898
"Stratified Societies",4414,1213,4582,1902,3242
"Stratified Societies",4219,2248,3748,1910,2842
"Stratified Societies",3684,1633,4201,2167,2991
"Stratified Societies",2745,449,4628,1627,2256
"Stratified Societies",4611,908,4904,1838,2716
"Stratified Societies",4083,2221,5072,2501,2672
"Stratified Societies",3778,905,3966,1734,2916
"Stratified Societies",3673,1128,4319,1890,2792
"Stratified Societies",4067,1258,4951,2233,3323
"Stratified Societies",4168,1529,4072,2187,2625
"Stratified Societies",4912,2179,4724,1933,2990
"Stratified Societies",4393,1179,3761,1800,2885
"Stratified Societies",4193,2044,4274,2708,2658
"Stratified Societies",3496,1186,4543,2055,3852
"Stratified Societies",3540,929,3584,1002,2577
"Stratified Societies",4126,1451,4691,2143,2231
"Stratified Societies",3967,786,3333,1773,2332
"Stratified Societies",3321,1028,3883,1816,2765
"Stratified Societies",3893,1363,4468,2058,2543
"Stratified Societies",4189,1093,3744,1966,2756
"Stratified Societies",3068,804,3947,859,2198
"Stratified Societies",3996,1066,5446,1813,2788
"Stratified Societies",3417,371,3499,2060,2684
"Stratified Societies",3179,873,4122,1424,2592
"Stratified Societies",3531,357,4004,1718,1648
"Stratified Societies",3675,646,4753,1863,2772
"Stratified Societies",3955,792,4398,1896,2970
"Stratified Societies",4504,1262,4026,2114,2648
"Stratified Societies",3612,1720,3112,1811,2647
"Stratified Societies",4046,770,4373,1729,2503
"Stratified Societies",4178,1151,3724,1834,2415
"Stratified Societies",3806,1540,3987,1504,2860
"Stratified Societies",3658,875,4112,1933,3488
"Stratified Societies",3806,983,4208,1673,2436
"Stratified Societies",2877,1284,3988,2393,2851
"Stratified Societies",3658,2061,4342,1815,2711
"Stratified Societies",3472,1357,4619,1758,2408
"Stratified Societies",4005,1312,4502,1566,2632
"Stratified Societies",4028,1533,4192,2027,2808
"Stratified Societies",3996,1422,4506,2068,2869
"Stratified Societies",2917,1266,4521,2195,2572
"Stratified Societies",4016,1845,3945,2393,2405
"Stratified Societies",4152,1582,3815,1958,2823
"Stratified Societies",3492,2065,3772,1043,1772
"Stratified Societies",3637,354,3158,2037,2520
"Stratified Societies",3823,276,4657,2088,2590
"Stratified Societies",3566,1200,3968,2096,3214
"Stratified Societies",3713,1149,3888,1920,2613
"Stratified Societies",3356,1155,4620,1870,2978
"Stratified Societies",3121,1097,3220,1873,2394
"Stratified Societies",3550,1362,4172,2090,2541
"Stratified Societies",3607,1047,4221,1653,2517
"Stratified Societies",4377,1617,4430,1666,2568
"Stratified Societies",2666,1197,4327,2366,2406
"Stratified Societies",3625,866,4142,926,1705
"Stratified Societies",5046,1518,4380,1997,2219
"Stratified Societies",3495,1303,3678,2133,2630
"Stratified Societies",3644,1715,3416,2028,2676
"Stratified Societies",3440,1415,3944,2656,2196
"Stratified Societies",4886,1792,4608,2118,2940
"Stratified Societies",4541,1352,4622,2125,2974
"Stratified Societies",3996,1333,4849,2485,2368
"Stratified Societies",2815,1363,4275,2211,2640
"Stratified Societies",4055,2048,4440,2040,3313
"Stratified Societies",3448,1921,4975,1894,2509
"Stratified Societies",3786,1823,4251,1995,2777
"Stratified Societies",4594,2140,4357,1695,2480
"Stratified Societies",4148,1134,4798,2198,2720
"Stratified Societies",4138,1163,4556,1712,2692
"Stratified Societies",4027,1170,4462,2156,2576
"Stratified Societies",4037,1084,4877,1876,3503
"Stratified Societies",3945,907,3960,1956,2581
"Stratified Societies",4441,1365,3634,1676,2679
"Stratified Societies",3235,963,3833,1514,3099
"Stratified Societies",2804,1357,3801,1773,2098
"Stratified Societies",4570,2180,4433,1644,2762
"Stratified Societies",3720,1089,4100,2854,3127
"Stratified Societies",3857,1084,5188,1695,2468
"Stratified Societies",3484,1116,4045,1626,1935
"Stratified Societies",4282,1148,4796,2312,2189
"Stratified Societies",4801,1183,4414,2082,2919
"Stratified Societies",4104,1245,5074,1873,3614
"Stratified Societies",3792,1306,4320,1957,2720
"Stratified Societies",3884,1243,3802,1632,2322
"Stratified Societies",3536,1441,4394,1369,2777
"Stratified Societies",3635,1275,4227,1880,2245
"Stratified Societies",3820,1685,4693,1786,3187
"Stratified Societies",4625,1378,5314,2164,2681
"Stratified Societies",4011,1104,4078,1884,2177
"Stratified Societies",3787,1701,4141,2674,2569
"Stratified Societies",3733,1281,4331,1781,1737
"Stratified Societies",4140,957,3705,1629,2328
"Stratified Societies",3688,1099,4381,1789,1906
"Stratified Societies",3472,1531,3903,1655,1991
"Stratified Societies",3886,1449,4282,2055,2647
"Stratified Societies",3857,1384,3747,2528,2851
"Stratified Societies",3764,2298,4586,1369,2934
"Stratified Societies",3144,1597,4492,2213,2568
"Stratified Societies",3462,1751,4042,2380,2461
"Stratified Societies",3960,1540,4251,1806,2466
"Stratified Societies",3662,1035,4306,1681,2062
"Stratified Societies",4196,1334,3997,1781,2286
"Stratified Societies",3965,1502,4587,2096,2940
"Stratified Societies",3987,800,4079,1948,2809
"Stratified Societies",3099,1244,4172,1733,2748
"Stratified Societies",3137,998,4319,1726,2497
"Stratified Societies",3793,1302,4455,1620,2753
"Stratified Societies",3893,1401,4180,1950,2590
"Stratified Societies",3480,1053,4318,1732,2610
"Stratified Societies",3866,1826,4257,2007,2786
"Stratified Societies",3692,1511,4361,2133,3085
"Stratified Societies",4024,1390,4508,2120,2718
"Stratified Societies",4172,1626,3707,2173,3049
"Stratified Societies",3695,1360,4221,1813,3612
"Stratified Societies",3485,664,4476,950,2362
"Stratified Societies",3588,1277,4329,1017,2067
"Stratified Societies",3211,1206,4072,2613,2563
"Stratified Societies",3739,1357,5238,1610,2087
"Stratified Societies",3360,1195,4251,2400,2775
"Stratified Societies",3894,1740,4236,1888,2686
"Stratified Societies",3767,922,3988,1873,2640
"Stratified Societies",4280,1796,4480,2439,2746
"Stratified Societies",4626,1320,4628,1886,2992
"Stratified Societies",4262,1603,4468,1881,3629
"Stratified Societies",2810,1309,3459,1926,2659
"Stratified Societies",2959,1348,4441,1417,2667
"Stratified Societies",4205,671,4514,1647,3158
"Stratified Societies",3686,436,4231,1821,2723
"Stratified Societies",4036,1175,4590,2204,3004
"Stratified Societies",3937,1209,4842,1640,2770
"Stratified Societies",3458,1745,4280,1954,2460
"Stratified Societies",3554,1057,3548,1880,3148
"Stratified Societies",3982,1149,4484,1794,2839
"Stratified Societies",3490,1962,4098,1745,2625
"Stratified Societies",4036,1155,4625,1996,3220
"Stratified Societies",3725,1427,4004,2186,2906
"Stratified Societies",3630,1114,3645,1423,1695
"Stratified Societies",3732,1456,4501,2539,2439
"Stratified Societies",3779,1339,4482,2036,3039
"Stratified Societies",4083,1157,4236,1812,3318
"Stratified Societies",3682,1103,4759,1792,3481
"Stratified Societies",4088,1441,4675,1866,2947
"Stratified Societies",3900,384,4043,1920,2903
"Stratified Societies",4259,911,4067,1708,2726
"Stratified Societies",3175,1110,3651,1742,2291
"Stratified Societies",3170,1347,5509,3130,2277
"Stratified Societies",3498,1752,4124,1259,2607
"Stratified Societies",2830,1348,5092,1877,2827
"Stratified Societies",3589,1363,3442,1775,3699
"Stratified Societies",3775,2084,4580,1893,2460
"Stratified Societies",4132,1173,4043,1943,2725
"Stratified Societies",3776,1197,4102,1391,2377
"Stratified Societies",3280,1662,4274,1713,2918
"Stratified Societies",3843,1403,4642,1371,2975
"Stratified Societies",4160,1250,4506,2210,2975
"Stratified Societies",3830,1327,4017,1704,2731
"Stratified Societies",3785,1948,3990,1929,2574
"Stratified Societies",3439,1392,4205,1916,2946
"Stratified Societies",3938,1562,3519,1798,2516
"Stratified Societies",4081,356,4333,1946,2805
"Stratified Societies",3554,1211,4921,1347,2427
"Stratified Societies",3581,1095,4483,1745,3196
"Stratified Societies",3969,1867,4267,1632,2939
"Stratified Societies",4171,1519,4519,1951,3320
"Stratified Societies",4477,1116,4143,2165,2726
"Stratified Societies",3639,937,4649,1908,2540
"Stratified Societies",3664,1900,3963,1607,2552
"Stratified Societies",4001,1400,4136,1927,1855
"Stratified Societies",3848,654,4411,1895,2579
"Stratified Societies",3419,1177,4011,1810,2222
"Stratified Societies",2968,643,4113,2024,2888
"Stratified Societies",4266,1258,4609,2893,2639
"Stratified Societies",3792,1316,4275,2760,2282
"Stratified Societies",3903,1191,4308,1922,2701
"Stratified Societies",3485,1941,4075,1857,2790
"Stratified Societies",3989,403,5057,1911,2880
"Stratified Societies",3889,1210,4706,2853,2698
"Stratified Societies",4027,1240,4745,2114,3083
"Stratified Societies",3774,1152,5207,1838,2448
"Stratified Societies",3272,1510,4619,2192,2655
"Stratified Societies",4334,1873,4967,1790,2591
"Stratified Societies",4164,1225,5285,1779,3511
"Stratified Societies",4018,2156,4712,2125,2876
"Stratified Societies",3869,378,4216,2068,2932
"Stratified Societies",4795,1204,4429,1868,2726
"Stratified Societies",3646,1370,4751,1617,2998
"Stratified Societies",4003,2211,4453,1878,2532
"Stratified Societies",2829,1481,4407,1036,2798
"Stratified Societies",3726,662,4226,2528,2973
"Stratified Societies",3362,1348,4251,1690,2799
"Stratified Societies",3711,1451,4763,2604,2673
"Stratified Societies",2842,1295,3339,1916,2567
"Stratified Societies",3900,1162,3371,2089,2582
"Stratified Societies",4488,1154,4698,1912,2276
"Stratified Societies",3470,849,3943,1893,2614
"Stratified Societies",4157,1426,3909,2144,2717
"Stratified Societies",3575,1368,3702,1327,2469
"Stratified Societies",3727,799,4397,1795,2598
"Stratified Societies",4556,1420,5373,2114,3421
"Stratified Societies",3529,903,4141,1982,3344
"Stratified Societies",4068,1467,3258,1913,3502
"Stratified Societies",3635,1388,4505,2771,2719
"Stratified Societies",3960,2160,4172,2535,3631
"Stratified Societies",3434,1258,4315,1874,3220
"Stratified Societies",3444,857,4090,1689,2523
"Stratified Societies",4350,1053,3560,1045,2777
"Stratified Societies",4822,1415,3759,1840,2705
"Stratified Societies",3570,1002,4043,1705,3016
"Stratified Societies",4141,706,3930,2162,2990
"Stratified Societies",4394,1104,4021,2277,2363
"Stratified Societies",3800,1087,3944,1911,2623
"Stratified Societies",4641,1360,5140,1783,2579
"Stratified Societies",3684,1224,4359,2424,2436
"Stratified Societies",3313,1051,4724,1885,2856
"Stratified Societies",3563,1099,4322,2213,2454
"Stratified Societies",3725,1409,4293,1370,3486
"Stratified Societies",4802,1547,4007,1847,2334
"Stratified Societies",3777,1343,4135,1761,2319
"Stratified Societies",3830,1327,5018,1997,2847
"Stratified Societies",4018,474,4511,1643,2872
"Stratified Societies",3480,1996,4750,1863,3562
"Stratified Societies",3927,1358,4225,1973,3203
"Stratified Societies",4396,1396,4412,1764,2745
"Stratified Societies",3346,1401,4192,2063,2997
"Stratified Societies",4097,1490,4591,1541,2766
"Stratified Societies",3264,1520,4523,1812,2716
"Stratified Societies",4031,1125,4319,1352,2666
"Stratified Societies",3695,1394,4196,1059,2270
"Stratified Societies",3642,1291,4273,2179,2432
"Stratified Societies",3635,1521,4129,2035,3128
"Stratified Societies",3659,1172,4016,2079,2528
"Stratified Societies",4169,1358,4541,2069,2723
"Stratified Societies",3880,1347,5181,1903,2966
"Stratified Societies",3885,1116,3579,1341,2993
"Stratified Societies",4745,2258,4737,1987,2143
"Stratified Societies",3871,1042,4717,2034,2801
"Stratified Societies",3431,1458,4692,2673,2743
"Stratified Societies",3745,1367,4120,1437,3556
"Stratified Societies",3747,265,5033,1878,3478
"Stratified Societies",3419,1031,4128,967,2302
"Stratified Societies",3672,647,4162,1845,2777
"Stratified Societies",3283,1220,3953,1801,2500
"Stratified Societies",3670,421,3866,1880,2368
"Stratified Societies",4725,1888,4179,1669,2757
"Stratified Societies",3975,1324,4531,1828,2801
"Stratified Societies",3400,1020,4550,1672,2729
"Stratified Societies",3682,1238,4743,1923,2922
"Stratified Societies",4518,997,4113,1929,2649
"Stratified Societies",3735,725,4124,1860,2634
"Stratified Societies",3832,1234,4216,1907,2753
"Stratified Societies",3026,1170,4450,1732,3604
"Stratified Societies",3503,357,4209,1980,3522
"Stratified Societies",4165,1298,4043,1914,1633
"Stratified Societies",3659,1821,4163,2052,3143
"Stratified Societies",3794,1430,5398,1714,3762
"Stratified Societies",3737,1227,3978,1377,2848
"Stratified Societies",3881,1471,4681,1397,3671
"Stratified Societies",3563,651,4430,1670,2980
"Stratified Societies",2622,1257,4801,1910,2549
"Stratified Societies",3765,799,3913,2051,2280
"Stratified Societies",3648,1208,4107,1773,1694
"Stratified Societies",3578,997,4147,1801,2245
"Stratified Societies",3802,1035,4556,2095,2594
"Stratified Societies",3547,753,3687,1982,2779
"Stratified Societies",4131,1059,4271,1088,2330
"Stratified Societies",3868,1385,4151,2062,2516
"Stratified Societies",3916,1289,4739,1207,3052
"Stratified Societies",4369,284,5104,1846,2814
"Stratified Societies",3214,1317,3808,1054,2394
"Stratified Societies",4414,257,3874,2630,2254
"Stratified Societies",3598,1148,4090,2007,2666
"Stratified Societies",3641,1123,4855,2096,2711
"Stratified Societies",3347,1563,3843,2148,2701
"Stratified Societies",3710,754,3842,1727,3173
"Stratified Societies",3583,1183,4527,2068,3002
"Stratified Societies",3951,1534,4942,1832,3405
"Stratified Societies",2861,1447,4051,2237,2496
"Stratified Societies",3483,983,4435,2148,2495
"Stratified Societies",3479,1224,4040,1599,1999
"Stratified Societies",3041,1222,4215,1326,2960
"Stratified Societies",3812,1173,4300,2465,2896
"Stratified Societies",3849,1459,4241,2017,2196
"Stratified Societies",3682,1252,3711,1760,2724
"Stratified Societies",3608,1161,4098,2586,3425
"Stratified Societies",3409,1382,4021,1696,2742
"Stratified Societies",5188,1484,4414,2331,2800
"Stratified Societies",4638,1011,4024,1750,2487
"Stratified Societies",4835,1116,4629,2621,2813
"Stratified Societies",2960,377,4227,1814,2572
"Stratified Societies",3576,1114,3481,2328,2598
"Stratified Societies",3521,463,4258,2021,2579
"Stratified Societies",3523,1641,4256,2054,2009
"Stratified Societies",3696,1227,3925,1619,1664
"Stratified Societies",3848,1123,3916,1418,2423
"Stratified Societies",3689,1708,4159,1528,2921
"Stratified Societies",3017,1368,4153,2149,2936
"Stratified Societies",2843,1120,4169,1971,2921
"Stratified Societies",3399,2069,4039,1222,2777
"Stratified Societies",3743,1681,4575,2730,2648
"Stratified Societies",3836,1538,4347,2216,2640
"Stratified Societies",3725,632,4230,1698,2675
"Stratified Societies",3710,1004,4421,2638,2415
"Stratified Societies",4540,1418,4584,1850,2913
"Stratified Societies",4280,1182,4734,2452,2790
"Stratified Societies",3518,1424,4237,1658,2023
"Stratified Societies",3772,1401,4439,2372,2402
"Stratified Societies",3752,997,4602,2252,2354
"Stratified Societies",3967,1111,5253,1646,2445
"Stratified Societies",3858,360,4173,2424,3059
"Stratified Societies",3269,1311,3998,1675,2753
"Stratified Societies",3705,1213,4312,1986,3896
"Stratified Societies",3643,1277,4137,2591,3323
"Stratified Societies",2892,1229,4837,2479,2523
"Stratified Societies",4007,1174,3662,2316,2193
"Stratified Societies",4135,1088,4278,1767,3245
"Stratified Societies",4156,1164,5066,2039,3024
"Stratified Societies",3788,1416,4151,2031,2916
"Stratified Societies",3961,1288,3925,1316,2553
"Stratified Societies",3699,1077,5157,1972,2544
"Stratified Societies",3610,1215,4582,1047,2574
"Stratified Societies",4313,392,4568,1090,3149
"Stratified Societies",3345,979,4768,2140,2956
"Stratified Societies",4165,1104,4646,1979,2734
"Stratified Societies",3199,1395,4371,1745,2548
"Stratified Societies",3683,948,4180,1806,2814
"Stratified Societies",3782,1498,4708,1770,2570
"Stratified Societies",4309,1114,4568,2161,2674
"Stratified Societies",3729,1070,4459,942,2602
"Stratified Societies",3855,1065,4782,1822,2746
"Stratified Societies",4201,495,4706,1892,3017
"Stratified Societies",3944,1794,4197,1984,2497
"Stratified Societies",2729,1025,3303,2143,1759
"Stratified Societies",4138,1131,4288,1768,2648
"Stratified Societies",3455,1406,3447,2075,2682
"Stratified Societies",4097,497,4488,1801,2055
"Stratified Societies",3492,1728,4599,1710,2451
"Stratified Societies",3727,1158,3934,1754,2324
"Stratified Societies",3682,2103,3495,2728,1996
"Stratified Societies",3570,1803,3711,2025,2296
"Stratified Societies",3689,1236,4026,1723,2544
"Stratified Societies",4229,1136,4706,2891,3016
"Stratified Societies",3483,1363,4768,2091,2179
"Stratified Societies",4127,699,4192,1884,1808
"Stratified Societies",3728,1257,4130,1896,1701
"Stratified Societies",3825,1473,4286,2028,2094
"Stratified Societies",3434,1446,4031,1650,2389
"Stratified Societies",3636,1048,4453,2793,2597
"Stratified Societies",3936,667,4503,2037,2827
"Stratified Societies",3897,696,4253,2877,2241
"Stratified Societies",3445,1715,3803,1499,2529
"Stratified Societies",3947,663,4389,931,2671
"Stratified Societies",3692,1393,5054,2101,2404
"Stratified Societies",4624,1708,4715,1970,3327
"Stratified Societies",4054,1421,4481,2076,2918
"Stratified Societies",3978,995,4500,1820,2726
"Stratified Societies",3767,1605,4549,2092,2901
"Stratified Societies",3846,278,5285,1355,2854
"Stratified Societies",3633,1247,4118,1872,2670
"Stratified Societies",3430,1039,4434,1589,2442
"Stratified Societies",4542,1083,4289,1429,2793
"Stratified Societies",3930,1514,4435,1835,3003
"Stratified Societies",4082,1412,4195,1699,2824
"Stratified Societies",3462,1232,4750,1753,3471
"Stratified Societies",3567,1173,3861,1736,3177
"Stratified Societies",3718,1128,3723,2035,2657
"Stratified Societies",3729,1472,3814,2008,2361
"Stratified Societies",3887,1356,4404,2864,2557
"Stratified Societies",2854,1097,4050,1913,2680
"Stratified Societies",3642,1111,5211,1882,3631
"Stratified Societies",3517,1487,3743,1963,2556
"Stratified Societies",4499,1265,4683,1860,2679
"Stratified Societies",3833,1248,4368,2226,2415
"Stratified Societies",4064,1428,4316,1670,2584
"Stratified Societies",4069,1006,4899,1796,2257
"Stratified Societies",3766,1153,4229,1959,2686
"Stratified Societies",4010,1116,4205,1818,2586
"Stratified Societies",4340,1355,3935,2119,3250
"Stratified Societies",4478,2035,4225,2668,3421
"Stratified Societies",3911,1513,5177,2553,2854
"Stratified Societies",4302,1320,4193,2837,3327
"Stratified Societies",3763,1396,4581,2549,2441
"Stratified Societies",5130,1238,4814,1926,3226
"Stratified Societies",2915,756,4730,1949,2602
"Stratified Societies",3307,1169,4006,1892,3547
"Stratified Societies",4841,1456,5240,1838,2782
"Stratified Societies",4514,1766,4901,2353,2459
"Stratified Societies",3989,1020,3932,1397,2991
"Stratified Societies",3897,929,4701,1849,2896
"Stratified Societies",3465,1145,4294,2089,2608
"Stratified Societies",3489,441,4146,1936,2674
"Stratified Societies",3462,1525,4410,1588,3264
"Stratified Societies",2899,1392,4209,2011,2528
"Stratified Societies",3981,1174,4754,2370,1887
"Stratified Societies",4063,2308,5361,2993,2835
"Stratified Societies",3898,364,4380,1982,2641
"Stratified Societies",3119,1230,4346,1805,2844
"Stratified Societies",3905,490,4156,1869,2462
"Stratified Societies",3621,1377,3807,1789,2635
"Stratified Societies",3721,1266,4067,1743,2491
"Stratified Societies",3540,1089,4440,1730,2834
"Stratified Societies",3808,1211,3880,1732,2593
"Stratified Societies",3638,1141,4477,1795,2785
"Stratified Societies",4263,1492,4823,1675,3900
"Stratified Societies",3756,1170,4573,1202,3010
"Stratified Societies",3674,1091,4513,2051,2795
"Stratified Societies",3967,1265,4491,1838,2864
"Stratified Societies",3226,968,3695,1962,2516
"Stratified Societies",4276,1127,4399,1329,2891
"Stratified Societies",4401,1259,4001,1542,2618
"Stratified Societies",4317,1568,5161,1853,3475
"Stratified Societies",3617,1368,4897,2221,2818
"Stratified Societies",4466,1054,3960,2101,2463
"Stratified Societies",3829,1175,4514,2115,3193
"Stratified Societies",3965,1608,3608,2056,3060
"Stratified Societies",4033,2187,3806,1960,2539
"Stratified Societies",4243,1650,4357,1700,2760
"Stratified Societies",3305,1333,4544,2017,1893
"Stratified Societies",3726,1643,4198,1693,2631
"Stratified Societies",3861,1375,4089,1732,2719
"Stratified Societies",3477,1042,3132,1850,2663
"Stratified Societies",3128,1267,5097,2123,2778
"Stratified Societies",3536,1958,4857,1330,2396
"Stratified Societies",3926,2130,4540,2032,2234
"Stratified Societies",3865,1348,4140,1698,2776
"Stratified Societies",3838,2180,4350,1890,2184
"Stratified Societies",3593,1301,3832,1919,3073
"Stratified Societies",3611,1153,5019,3043,2679
"Stratified Societies",3596,1737,4133,1661,3099
"Stratified Societies",3513,1310,3917,891,2554
"Stratified Societies",3996,920,3796,1312,2280
"Stratified Societies",3819,1580,4478,2737,3342
"Stratified Societies",3801,898,3412,1844,2753
"Stratified Societies",3570,1118,4241,1959,2441
"Stratified Societies",3888,647,5221,2008,2787
"Stratified Societies",3545,1199,3314,2357,2457
